Id,CLASSE
10524,Normal
17249,Anormal
4483,Anormal
6830,Normal
11652,Normal
15430,Normal
1023,Normal
5733,Normal
14309,Normal
3437,Normal
12826,Normal
14397,Normal
16726,Normal
9709,Normal
9234,Normal
13900,Anormal
17559,Normal
11562,Normal
705,Normal
14568,Anormal
788,Normal
13852,
16504,Normal
1566,Anormal
11578,Normal
7939,Anormal
13385,Normal
15708,Normal
14769,
3738,
8285,Anormal
16787,Normal
6173,Normal
2370,Normal
3449,Anormal
7644,Normal
5022,Normal
5708,Anormal
11743,Normal
3060,Anormal
13584,Anormal
16176,Normal
10024,Normal
7151,
263,Normal
15404,Anormal
9722,Normal
14741,Anormal
11703,Anormal
12991,Normal
8746,Anormal
12557,Normal
4238,Anormal
17502,Normal
9922,Normal
10577,Normal
827,Normal
5674,Anormal
8542,Anormal
16162,Anormal
4070,Normal
7306,Normal
16768,Anormal
6655,Normal
3791,
7359,
15847,Normal
3197,Normal
14008,Anormal
10540,
12565,Normal
1699,Anormal
8351,
1868,Normal
7388,Normal
9178,Anormal
290,Normal
13058,Normal
16315,Anormal
8522,Normal
10918,Normal
6370,Anormal
17143,Anormal
1279,Anormal
6407,Anormal
950,Anormal
5664,Normal
12381,Anormal
10245,Normal
1309,
7570,Normal
10964,Normal
17628,Anormal
15009,Anormal
10967,Normal
6454,
12265,Anormal
3377,Normal
5859,Normal
4311,Anormal
1092,
7845,Anormal
12948,Normal
9917,Anormal
11241,Normal
13183,Normal
15509,Anormal
1733,Anormal
868,Normal
14504,Normal
4592,Normal
12853,Normal
8545,Normal
12878,Anormal
6304,Normal
7695,
11883,Normal
16323,Anormal
17652,Anormal
14398,Normal
8044,Normal
9181,Normal
13223,Anormal
12352,Normal
11238,Normal
3811,
8312,Normal
14167,Normal
5766,Anormal
11404,Normal
15300,Anormal
17684,Anormal
13567,Normal
2193,Normal
14871,Anormal
17071,Normal
5991,Normal
11143,Normal
12220,Normal
15959,Normal
11570,Normal
1431,Normal
5343,Normal
4894,
4291,Normal
460,Anormal
8345,Anormal
12850,Anormal
3102,Normal
14552,Normal
9143,Normal
5117,Anormal
14290,Normal
6671,Anormal
13315,Normal
15432,Normal
2475,Normal
15316,Anormal
11507,Normal
4242,Normal
8608,Anormal
10585,Normal
9794,Anormal
3522,Normal
1529,Anormal
790,Normal
13210,Anormal
2649,Normal
9429,Normal
7422,Normal
6566,Normal
3268,Normal
14076,Anormal
9552,Anormal
17046,Anormal
12883,Normal
8878,Normal
5047,Normal
4404,Normal
12755,Normal
16790,Anormal
1843,Anormal
15069,Normal
12293,
444,Normal
17408,
15576,Normal
584,
9740,Anormal
4013,
6337,
145,Anormal
15048,Anormal
11356,Anormal
2732,Anormal
2892,Normal
16031,Anormal
13164,Anormal
4327,Normal
13154,Normal
16271,
3198,Anormal
1771,Normal
12779,Normal
7990,Anormal
7785,Anormal
355,Anormal
13492,Normal
17209,Normal
12824,
16143,Normal
7227,Anormal
17526,
6130,Anormal
5354,Normal
5026,Anormal
6356,Anormal
14224,Normal
4234,Normal
2641,Normal
14875,Anormal
3543,Normal
10951,Anormal
2846,Normal
13,Normal
6821,Normal
12043,Normal
11080,Normal
716,Anormal
9212,Anormal
4181,Normal
15594,Anormal
9180,Normal
10989,Normal
11484,Normal
3556,Anormal
3141,Anormal
16230,Anormal
8974,Normal
4087,
9828,Anormal
4737,Anormal
4646,Normal
7643,Normal
7685,Normal
5822,Normal
15598,Normal
2462,Normal
1533,Normal
12743,Normal
7290,Normal
16703,Normal
5070,Normal
15866,Anormal
17220,Normal
13322,Anormal
8667,Anormal
9360,Anormal
9603,Anormal
8328,Normal
9,Anormal
60,Normal
7410,Normal
2227,Anormal
8454,Normal
7058,Anormal
9103,Normal
11811,Anormal
15776,Anormal
3637,Normal
16173,Anormal
16559,Anormal
2298,Anormal
2825,Normal
1043,Normal
108,Normal
5652,Normal
10366,Anormal
1618,Anormal
6710,Anormal
16924,Normal
15437,Normal
14534,Anormal
14691,Normal
7473,Normal
4685,Normal
1542,Normal
13774,Anormal
1447,
753,Anormal
15406,Anormal
9559,
8087,Normal
552,Normal
2613,Normal
14906,Normal
13436,Anormal
17829,Anormal
11218,Normal
14443,Anormal
465,Normal
3969,Normal
6099,Anormal
6890,Anormal
5139,Normal
854,Normal
10494,Normal
7110,Anormal
12060,Normal
11638,Normal
1065,Normal
11257,Anormal
13763,Normal
14450,Normal
2579,
12812,Normal
1759,Normal
8554,Normal
12304,Normal
5353,Normal
15073,Anormal
11078,Anormal
4286,Normal
17564,Anormal
873,Normal
886,Normal
3593,
1506,Anormal
1269,Anormal
6162,Normal
16963,Anormal
13558,Anormal
17085,Normal
5905,Normal
6745,Normal
5028,
3537,Normal
11575,Normal
2139,Anormal
11875,Normal
17747,Anormal
11056,Normal
4886,Normal
13709,Anormal
12374,Normal
16932,Anormal
7335,Normal
8135,Normal
1074,Normal
5112,Normal
3617,Anormal
8915,Anormal
8782,Normal
4174,Anormal
1762,Anormal
14920,Anormal
1117,Anormal
14339,Normal
11136,Anormal
8984,Normal
10188,Normal
273,
6896,Normal
11695,Normal
15808,Normal
12221,Anormal
7198,Normal
245,Anormal
794,Anormal
2369,Normal
9058,Normal
15250,
4702,
3365,Normal
8020,Normal
16484,Normal
6031,Anormal
6812,Anormal
12803,Anormal
12104,
10290,Normal
16907,
5607,Anormal
1555,Normal
11276,Anormal
12820,Anormal
11691,Normal
13029,
6072,Normal
1011,Normal
6419,Normal
876,Normal
